dataset_rows,workers,queue_size,workload,total_requests,repeats,success_mean,success_stddev,rejected_mean,rejected_stddev,error_mean,error_stddev,total_ms_mean,total_ms_stddev,avg_ms_mean,avg_ms_stddev,p95_ms_mean,p95_ms_stddev,max_ms_mean,max_ms_stddev
100000,4,32,mixed,2000,10,39.100,9.803,1960.900,9.803,0.000,0.000,216.606,9.104,164.668,8.926,202.539,9.130,214.090,8.495
100000,4,32,mixed,5000,10,40.000,12.649,4960.000,12.649,0.000,0.000,576.575,21.098,437.085,13.005,535.106,9.981,568.921,19.862
100000,4,64,mixed,2000,10,68.000,0.000,1932.000,0.000,0.000,0.000,212.058,8.454,161.884,6.419,199.579,8.302,209.918,8.417
100000,4,64,mixed,5000,10,68.000,0.000,4932.000,0.000,0.000,0.000,572.170,13.117,439.938,15.046,535.799,14.647,566.100,12.446
100000,4,128,mixed,2000,10,132.000,0.000,1868.000,0.000,0.000,0.000,210.581,6.308,161.353,4.678,203.730,6.103,208.156,6.347
100000,4,128,mixed,5000,10,132.000,0.000,4868.000,0.000,0.000,0.000,574.957,19.563,443.621,15.404,539.708,16.196,567.133,17.432
100000,4,256,mixed,2000,10,260.000,0.000,1740.000,0.000,0.000,0.000,211.768,6.282,161.108,4.874,204.469,6.180,208.917,6.249
100000,4,256,mixed,5000,10,260.000,0.000,4740.000,0.000,0.000,0.000,616.055,62.641,475.088,58.089,596.905,64.802,609.469,62.356
100000,4,512,mixed,2000,10,516.000,0.000,1484.000,0.000,0.000,0.000,217.433,9.462,165.019,5.532,208.914,9.536,213.470,9.613
100000,4,512,mixed,5000,10,516.000,0.000,4484.000,0.000,0.000,0.000,557.678,13.743,427.593,17.228,536.873,15.044,549.256,14.489
100000,8,32,mixed,2000,10,50.700,33.836,1949.300,33.836,0.000,0.000,247.001,59.740,169.435,12.734,211.077,22.053,244.430,58.732
100000,8,32,mixed,5000,10,55.500,49.015,4944.500,49.015,0.000,0.000,927.290,1087.657,449.406,21.637,545.871,32.546,919.120,1088.015
100000,8,64,mixed,2000,10,72.000,0.000,1928.000,0.000,0.000,0.000,221.792,26.992,167.525,20.496,206.602,22.925,219.447,26.943
100000,8,64,mixed,5000,10,72.000,0.000,4928.000,0.000,0.000,0.000,574.963,45.224,446.381,43.403,542.977,42.430,569.640,45.264
100000,8,128,mixed,2000,10,136.000,0.000,1864.000,0.000,0.000,0.000,198.127,8.013,151.660,6.709,191.230,7.673,195.879,8.080
100000,8,128,mixed,5000,10,136.000,0.000,4864.000,0.000,0.000,0.000,601.942,21.969,465.651,21.513,564.829,20.176,593.271,19.578
100000,8,256,mixed,2000,10,264.000,0.000,1736.000,0.000,0.000,0.000,211.089,15.535,159.472,12.556,202.389,17.304,208.249,15.625
100000,8,256,mixed,5000,10,264.000,0.000,4736.000,0.000,0.000,0.000,571.595,9.372,442.674,9.728,555.045,9.149,564.780,8.890
100000,8,512,mixed,2000,10,520.000,0.000,1480.000,0.000,0.000,0.000,218.518,7.129,165.870,6.080,210.091,7.113,214.824,7.264
100000,8,512,mixed,5000,10,520.000,0.000,4480.000,0.000,0.000,0.000,584.373,12.115,454.090,12.832,567.734,12.168,577.518,12.114
100000,16,32,mixed,2000,10,48.000,0.000,1952.000,0.000,0.000,0.000,223.164,15.119,168.627,12.034,207.240,14.076,221.139,15.062
100000,16,32,mixed,5000,10,61.700,43.323,4938.300,43.323,0.000,0.000,920.991,1078.574,449.880,15.606,545.747,15.406,915.291,1077.590
100000,16,64,mixed,2000,10,80.000,0.000,1920.000,0.000,0.000,0.000,221.648,8.482,168.742,5.409,206.611,8.188,219.404,8.516
100000,16,64,mixed,5000,10,80.000,0.000,4920.000,0.000,0.000,0.000,582.696,18.221,450.840,16.614,548.036,16.471,575.012,15.005
100000,16,128,mixed,2000,10,144.000,0.000,1856.000,0.000,0.000,0.000,216.340,6.186,164.624,5.950,208.636,6.284,213.556,6.481
100000,16,128,mixed,5000,10,144.000,0.000,4856.000,0.000,0.000,0.000,580.605,19.828,449.919,18.822,545.749,21.896,575.020,19.753
100000,16,256,mixed,2000,10,272.000,0.000,1728.000,0.000,0.000,0.000,217.049,5.288,165.505,4.903,209.179,5.071,214.182,5.329
100000,16,256,mixed,5000,10,272.000,0.000,4728.000,0.000,0.000,0.000,574.571,18.701,442.840,13.823,554.800,17.694,564.702,17.981
100000,16,512,mixed,2000,10,528.000,0.000,1472.000,0.000,0.000,0.000,215.258,5.126,163.856,4.432,206.586,5.025,211.621,5.172
100000,16,512,mixed,5000,10,528.000,0.000,4472.000,0.000,0.000,0.000,586.581,22.580,451.309,20.165,565.002,23.262,575.517,23.361
